College Name,Country of Citizenship Name,Head Count - Fall
Confederation College,NEW ZEALAND,N/A
Confederation College,NIGERIA,N/A
Confederation College,NOT REPORTED,N/A
Confederation College,PAKISTAN,N/A
Confederation College,PERU,N/A
Confederation College,PHILIPPINES,N/A
Confederation College,ROMANIA,N/A
Confederation College,SENEGAL,N/A
Confederation College,SIERRA LEONE,N/A
Confederation College,ST VINCENT AND THE GRENADINES,N/A
Confederation College,SWEDEN,N/A
Confederation College,TURKEY,N/A
Confederation College,UNITED STATES,N/A
Durham College,AFGHANISTAN,N/A
Durham College,ALGERIA,N/A
Durham College,ARGENTINA,N/A
Durham College,AUSTRALIA,N/A
Durham College,AUSTRIA,N/A
Durham College,BANGLADESH,N/A
Durham College,BARBADOS,N/A
Durham College,BELGIUM,N/A
Durham College,BULGARIA,N/A
Durham College,CAMEROON,N/A
Durham College,CANADA,8975
Durham College,CHILE,N/A
Durham College,CHINA,N/A
Durham College,COLOMBIA,N/A
Durham College,"CONGO, DEMOCRATIC REPUBLIC OF THE",N/A
Durham College,COSTA RICA,N/A
Durham College,CUBA,N/A
Durham College,DENMARK,N/A
Durham College,DOMINICA,N/A
Durham College,DOMINICAN REPUBLIC,N/A
Durham College,EGYPT,N/A
Durham College,ERITREA,N/A
Durham College,ETHIOPIA,N/A
Durham College,GERMANY,N/A
Durham College,GHANA,N/A
Durham College,GRENADA,N/A
Durham College,GUATEMALA,N/A
Durham College,GUYANA,N/A
Durham College,HAITI,N/A
Durham College,HONG KONG,N/A
Durham College,HUNGARY,N/A
Durham College,INDIA,12
Durham College,INDONESIA,N/A
Durham College,IRAN,N/A
Durham College,IRAQ,N/A
Durham College,IRELAND REPUBLIC OF (EIRE),N/A
Durham College,ISRAEL,N/A
Durham College,ITALY,N/A
Durham College,JAMAICA,14
Durham College,JORDAN,N/A
Durham College,KENYA,N/A
Durham College,KOREA SOUTH,N/A
Durham College,KUWAIT,N/A
Durham College,LEBANON,N/A
Durham College,MALAYSIA,N/A
Durham College,MEXICO,N/A
Durham College,NIGERIA,N/A
Durham College,NOT REPORTED,N/A
Durham College,PAKISTAN,N/A
Durham College,PHILIPPINES,19
Durham College,POLAND,N/A
Durham College,PORTUGAL,N/A
Durham College,RUSSIAN FEDERATION,N/A
Durham College,SENEGAL,N/A
Durham College,SOUTH AFRICA,N/A
Durham College,SRI LANKA,N/A
Durham College,ST LUCIA,N/A
Durham College,ST VINCENT AND THE GRENADINES,N/A
Durham College,Syria,N/A
Durham College,TANZANIA UNITED REPUBLIC OF,N/A
Durham College,THAILAND,N/A
Durham College,TRINIDAD AND TOBAGO,N/A
Durham College,UKRAINE,N/A
Durham College,UNITED KINGDOM,19
Durham College,UNITED STATES,14
Durham College,VENEZUELA,N/A
Durham College,VIET NAM,N/A
Fanshawe College,AFGHANISTAN,N/A
Fanshawe College,ALBANIA,N/A
Fanshawe College,ARGENTINA,N/A
Fanshawe College,AUSTRALIA,N/A
Fanshawe College,BAHAMAS,N/A
Fanshawe College,BANGLADESH,N/A
Fanshawe College,BELARUS,N/A
Fanshawe College,BOTSWANA,N/A
Fanshawe College,BRAZIL,N/A
Fanshawe College,BURUNDI,N/A
Fanshawe College,CANADA,11917
Fanshawe College,CHINA,49
Fanshawe College,COLOMBIA,69
Fanshawe College,"CONGO, DEMOCRATIC REPUBLIC OF THE",N/A
Fanshawe College,CUBA,N/A
Fanshawe College,DOMINICAN REPUBLIC,N/A
Fanshawe College,EGYPT,N/A
Fanshawe College,EL SALVADOR,N/A
Fanshawe College,ESTONIA,N/A
Fanshawe College,ETHIOPIA,N/A
Fanshawe College,FIJI,N/A
Fanshawe College,FINLAND,N/A
Fanshawe College,GERMANY,N/A
Fanshawe College,GHANA,N/A
Fanshawe College,GRENADA,N/A
Fanshawe College,GUATEMALA,N/A
Fanshawe College,GUINEA,N/A
Fanshawe College,GUYANA,N/A
Fanshawe College,HAITI,N/A
Fanshawe College,HONG KONG,N/A
Fanshawe College,HUNGARY,N/A
Fanshawe College,INDIA,11
Fanshawe College,INDONESIA,N/A
Fanshawe College,IRAN,11
Fanshawe College,IRAQ,15
Fanshawe College,IRELAND REPUBLIC OF (EIRE),N/A
Fanshawe College,ISRAEL,N/A
Fanshawe College,JAMAICA,N/A
Fanshawe College,JAPAN,N/A
Fanshawe College,JORDAN,N/A
Fanshawe College,KAZAKHSTAN,N/A
Fanshawe College,KENYA,N/A
Fanshawe College,KOREA SOUTH,21
Fanshawe College,LEBANON,N/A
Fanshawe College,LIBERIA,N/A
Fanshawe College,LIBYA,N/A
Fanshawe College,MACEDONIA (FYROM),N/A
Fanshawe College,MALAYSIA,N/A
Fanshawe College,MAURITIUS,N/A
Fanshawe College,MEXICO,N/A
Fanshawe College,MYANMAR,N/A
Fanshawe College,NEPAL,N/A
Fanshawe College,NETHERLANDS,10
Fanshawe College,NEW ZEALAND,N/A
Fanshawe College,NICARAGUA,N/A
Fanshawe College,NIGERIA,N/A
Fanshawe College,NOT REPORTED,14
Fanshawe College,PAKISTAN,N/A
Fanshawe College,PALESTINIAN TERRITORY OCCUPIED,12
Fanshawe College,PERU,N/A
Fanshawe College,PHILIPPINES,14
Fanshawe College,POLAND,N/A
Fanshawe College,ROMANIA,N/A
Fanshawe College,RUSSIAN FEDERATION,N/A
Fanshawe College,RWANDA,N/A
Fanshawe College,SAUDI ARABIA,N/A
Fanshawe College,SERBIA,N/A
Fanshawe College,SOMALIA,N/A
