#AGGR_TYPE_CD,OCCPTN_GRP_CD,OCCPTN_SGRP_CD,ACAD_GRAD_YEAR,REPORTING_ACAD_YR,GENDER,GRAD_COUNT,STUD_SAT_COUNT,UNEMP_RATE,EMP_RATE,EMP_FT_RATE,EMP_PT_RATE,JSD_RATE_FT_RLTD_1,JSD_RATE_FT_RLTD_2,JSD_RATE_FT_RLTD_3,JSD_RATE_FT_RLTD_4,JSD_RATE_FT_RLTD_5,ANN_SLRY_EMP_FT_RATE,ANN_CLRY_EMP_FT_RLTD_RATE,GRAD_SAT_RATE_AGG,IN_LF,STUD_SAT_RATE,GRADUATION_RATE,EMP_FT_REL_RATE
Cl,T,T10,2010-2011,2011-2012,T,239,321,22.5,77.5,67.5,7.5,17.5,37.5,67.5,87.5,97.5,47500,52500,77.5,72.5,77.5,N/A,52.5
Cl,T,T16,2013-2014,2014-2015,T,242,449,22.5,77.5,72.5,7.5,N/A,N/A,N/A,N/A,N/A,37500,37500,77.5,87.5,72.5,57.5,57.5
Cl,B,B03,2013-2014,2014-2015,T,243,284,12.5,87.5,67.5,17.5,N/A,N/A,N/A,N/A,N/A,32500,32500,72.5,82.5,77.5,62.5,47.5
Cl,B,B13,2014-2015,2015-2016,T,246,491,17.5,82.5,62.5,12.5,37.5,52.5,77.5,92.5,97.5,42500,47500,67.5,87.5,72.5,57.5,47.5
Cl,B,B13,2010-2011,2011-2012,T,249,496,12.5,87.5,82.5,7.5,27.5,52.5,62.5,87.5,97.5,42500,42500,77.5,87.5,77.5,N/A,67.5
Cl,B,B03,2010-2011,2011-2012,T,254,349,22.5,77.5,57.5,12.5,22.5,52.5,67.5,92.5,97.5,32500,32500,77.5,82.5,82.5,N/A,42.5
Cl,B,B03,2012-2013,2013-2014,T,256,310,22.5,82.5,62.5,12.5,N/A,N/A,N/A,N/A,N/A,32500,32500,77.5,87.5,82.5,62.5,37.5
Cl,A,A08,2011-2012,2012-2013,T,257,564,17.5,82.5,77.5,2.5,57.5,77.5,87.5,97.5,97.5,37500,37500,87.5,82.5,77.5,52.5,67.5
Cl,B,B03,2011-2012,2012-2013,T,264,331,17.5,82.5,62.5,17.5,27.5,52.5,67.5,82.5,97.5,27500,32500,72.5,82.5,82.5,62.5,42.5
Cl,T,T10,2011-2012,2012-2013,T,270,363,27.5,72.5,72.5,2.5,27.5,47.5,77.5,92.5,97.5,47500,57500,77.5,77.5,72.5,87.5,42.5
Cl,B,B13,2011-2012,2012-2013,T,276,532,22.5,77.5,72.5,2.5,32.5,52.5,72.5,92.5,97.5,42500,42500,82.5,87.5,72.5,52.5,57.5
Cl,T,T10,2014-2015,2015-2016,T,276,347,22.5,77.5,62.5,7.5,27.5,37.5,62.5,82.5,97.5,52500,57500,72.5,82.5,67.5,82.5,47.5
Cl,A,A08,2012-2013,2013-2014,T,278,460,17.5,82.5,72.5,2.5,N/A,N/A,N/A,N/A,N/A,37500,37500,82.5,87.5,72.5,57.5,62.5
Cl,T,T16,2011-2012,2012-2013,T,286,421,12.5,87.5,87.5,2.5,27.5,52.5,72.5,92.5,97.5,37500,37500,77.5,87.5,77.5,62.5,62.5
Cl,T,T10,2013-2014,2014-2015,T,290,309,17.5,82.5,72.5,2.5,N/A,N/A,N/A,N/A,N/A,52500,57500,82.5,72.5,72.5,77.5,57.5
