S_MTCU,COLL_RGN_CD,COLL_CD,APSKey,APS_NAME,GRAD_OUT,STUD_SAT,GRAD_RATE
A-60505,SE,LACI,LACI01137,Technologie de l'information - réseaux informatiques,TRUE,TRUE,TRUE
A-60505,N,CANA,CANA01149,Computer Systems Technology - Networking,TRUE,FALSE,FALSE
A-60505,SE,LACI,LACI01172,Technologie de l'information - sécurité informatique,TRUE,FALSE,FALSE
A-60505,CE,MOHA,MOHA01199,Computer Systems Technology - Network Engineering And Security Analyst,TRUE,TRUE,TRUE
A-60505,GTA,SENE,SENE01204,Computer Systems Technology,TRUE,TRUE,TRUE
A-60505,SW,FANS,FANS01219,Computer Systems Technology,TRUE,TRUE,TRUE
A-60505,GTA,GRBR,GRBR01222,Computer Systems Technology,TRUE,TRUE,TRUE
A-60505,N,CAMB,CAMB01223,Computer Systems Technology,TRUE,TRUE,TRUE
A-60505,SE,ALGO,ALGO01386,Computer Systems Technology - Networking,TRUE,FALSE,TRUE
A-60505,SE,ALGO,ALGO01408,Computer Systems Technology - Security,TRUE,TRUE,TRUE
A-60509,CE,NIAG,NIAG01014,Computer Engineering Technology,TRUE,FALSE,TRUE
A-60509,SE,ALGO,ALGO01030,Computer Engineering Technology - Computing Science,TRUE,TRUE,TRUE
A-60509,SE,LACI,LACI01061,Computer Technology - Computing Science,TRUE,TRUE,TRUE
A-60509,SE,SLAW,SLAW01070,Computer Engineering Technology - Microcomputers,FALSE,FALSE,TRUE
A-60509,N,BORE,BORE01092,Computer Engineering Technology,TRUE,TRUE,TRUE
A-60509,GTA,HUMB,HUMB01119,Computer Engineering Technology,TRUE,TRUE,TRUE
A-60509,GTA,SENE,SENE01126,Computer Engineering Technology,TRUE,TRUE,TRUE
A-60509,N,SAUL,SAUL01128,Computer Engineering Technologist - Networking,TRUE,FALSE,TRUE
A-60509,CE,CONS,CONS01128,Computer Engineering Technology,TRUE,TRUE,TRUE
A-60509,CE,MOHA,MOHA01157,Computer Engineering Technology,TRUE,TRUE,TRUE
A-60509,SE,SSFL,SSFL01186,Computer Engineering Technology,TRUE,TRUE,TRUE
A-60509,SE,ALGO,ALGO01198,Computer Engineering Technology,TRUE,FALSE,TRUE
A-60509,GTA,CENT,CENT01205,Computer Engineering Technology - Embedded Networks,TRUE,TRUE,TRUE
A-60509,GTA,SHER,SHER01205,Computer Engineering Technology,TRUE,TRUE,TRUE
A-60513,GTA,DURH,DURH01167,Web Design And Development,TRUE,FALSE,TRUE
A-60513,SW,STCL,STCL01195,Web Communications Development,TRUE,TRUE,TRUE
A-60513,GTA,HUMB,HUMB01325,Web Design and Interactive Media,TRUE,TRUE,FALSE
A-60518,CE,CONS,CONS01244,IT Innovation and Design,TRUE,TRUE,FALSE
A-60600,N,CONF,CONF01001,Architectural Technology,TRUE,TRUE,TRUE
A-60600,CE,MOHA,MOHA01003,Architectural Technology,TRUE,TRUE,TRUE
A-60600,SW,STCL,STCL01003,Architectural Technology,TRUE,TRUE,TRUE
A-60600,GTA,CENT,CENT01004,Architectural Technology,TRUE,TRUE,TRUE
A-60600,GTA,HUMB,HUMB01005,Architectural Technology,TRUE,TRUE,TRUE
A-60600,SE,ALGO,ALGO01005,Architectural Technology,TRUE,TRUE,TRUE
A-60600,SE,LACI,LACI01058,Architectural Technology,TRUE,TRUE,TRUE
A-60600,SE,LOYT,LOYT01065,Architectural Technology,TRUE,TRUE,TRUE
A-60600,SW,FANS,FANS01092,Architectural Technology,TRUE,TRUE,TRUE
A-60600,GTA,GRBR,GRBR01116,Architectural Technology,TRUE,TRUE,TRUE
A-60600,GTA,SHER,SHER01124,Architectural Technology,TRUE,TRUE,TRUE
A-60600,CE,GEOR,GEOR01196,Architectural Technology,TRUE,TRUE,TRUE
A-60600,GTA,DURH,DURH01214,Architectural Technology,FALSE,TRUE,FALSE
A-60701,GTA,HUMB,HUMB01015,Child And Youth Worker,TRUE,TRUE,TRUE
A-60701,SE,SLAW,SLAW01016,Child And Youth Worker,TRUE,TRUE,TRUE
A-60701,GTA,CENT,CENT01029,Child And Youth Worker,TRUE,TRUE,TRUE
A-60701,N,BORE,BORE01046,Techniques D'éducation Spécialisée,TRUE,TRUE,TRUE
A-60701,SE,LACI,LACI01046,Child Care Worker,TRUE,TRUE,TRUE
A-60701,N,SAUL,SAUL01047,Child And Youth Worker,TRUE,TRUE,TRUE
A-60701,SW,LAMB,LAMB01063,Child And Youth Worker,TRUE,TRUE,TRUE
A-60701,N,CONF,CONF01079,Child And Youth Worker,TRUE,TRUE,TRUE
A-60701,CE,MOHA,MOHA01083,Child And Youth Worker,TRUE,TRUE,TRUE
A-60701,N,CAMB,CAMB01095,Child And Youth Worker,TRUE,TRUE,TRUE
A-60701,SW,STCL,STCL01097,Child And Youth Worker,TRUE,TRUE,TRUE
A-60701,N,NORT,NORT01121,Child And Youth Worker,TRUE,TRUE,TRUE
A-60701,SW,FANS,FANS01122,Child And Youth Worker,TRUE,TRUE,TRUE
A-60701,GTA,GRBR,GRBR01124,Child And Youth Worker,TRUE,TRUE,TRUE
A-60701,SE,LOYT,LOYT01126,Child And Youth Worker,TRUE,TRUE,TRUE
A-60701,CE,NIAG,NIAG01129,Child And Youth Worker,TRUE,TRUE,TRUE
