Variable Name (Nom de la variable),Description English,Description français,Code,Code Description English,Description du code français
,,,,,
#AGGR_TYPE_CD,Aggregation level of record,Niveau de l'enregistrement de l'agrégation,Cl,Occupational cluster,Groupe de programme 
,,,Co,College,Collège
,,,Dv,Occupational division,Le domaine d' études 
,,,Program,Program,Programme 
,,,Rg,Region,Région
,,,Sy,"System (i.e., province)",Système
,,,,,
S_MTCU,Program code,Code de programme,A-60100,Business Administration - Accounting,Administration des affaires - comptabilité
,,,A-67600,Building Renovation Technology,Technologie de rénovation de bâtiment,,,
,,,A-68200,Construction Engineering Technology,Technologie du génie de la construction,,,
,,,A-68205,Alternative (sustainable) Energy Engineering Technology,Technologie du génie énergitique alternatif et durable,,,
,,,A-68401,Aviation Flight Technology,Aviation,,,
,,,A-68500,Marine Technology - Navigation,Technologie maritime - navigation,,,
,,,A-68600,Marine Engineering Technology,Technologie du génie maritime,,,
,,,A-68900,Business Administration - Materials And Operations Management,Administration des affaires - gestion de stocks,,,
,,,A-68902,Logistics Administration,Administration des opérations et de la production,,,
,,,A-68905,Packaging Design,Conception d'emballages,,,
,,,A-69100,Stationary Engineering Technology,Technologie du génie des machines fixes,,,
,,,A-69101,Power Engineering Technology - Chemical,Technologie du génie électrique - chimique,,,
,,,A-69302,Telecommunications Technology,Technologies des télécommunications,,,
,,,A-69403,Film And Television Production,Production cinématographique et télévision,,,
,,,B-80100,Bachelor of Commerce (Accounting),Baccalauréat en commerce - comptabilité,,,
,,,B-80103,Bachelor of Applied Business (Integrated Accounting And Information Technology Management),Baccalauréats en affaires appliquées-comptabilité intégrée et gestion de la TI,,,
,,,B-80104,Bachelor of Applied Business (International Accounting And Finance,Baccalauréats en affaires appliquées - finance et comptabilité internationale,,,
,,,B-80199,Bachelor of Commerce (Finance),Baccalauréat en commerce - finances,,,
,,,B-80200,Bachelor of Commerce (Business Management),Baccalauréat en commerce - gestion entrepreuniale,,,
